"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs"
"Baez_2013a.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";1;"decr.P";"1";"2010_1_Baez_2013a;C;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;-0.0271443490552379
"Baez_2013a.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";2;"decr.P";"1";"2010_1_Baez_2013a;C;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;-0.798701047689917
"Baez_2013a.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";3;"decr.P";"1";"2010_1_Baez_2013a;C;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;0.0806597535859028
"Baez_2013b.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";1;"incr.P";"1";"2010_1_Baez_2013b;C;P;incr.P;1;2010;2";3;-0.286792881438332;1;"3";3;42;0.577879372729742;253;-0.319195673738619;0.815496730517856;1333.086163;-0.141524653058917
"Baez_2013b.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";2;"incr.P";"1";"2010_1_Baez_2013b;C;P;incr.P;1;2010;2";3;-0.286792881438332;1;"3";3;42;0.577879372729742;253;-0.319195673738619;0.815496730517856;1333.086163;0.793011636171351
"Baez_2013b.csv";34.33333333;-106.96667;"Baez_2013";"C";"C - A";3;"incr.P";"1";"2010_1_Baez_2013b;C;P;incr.P;1;2010;2";3;-0.286792881438332;1;"3";3;42;0.577879372729742;253;-0.319195673738619;0.815496730517856;1333.086163;0.345884741936842
"Baez_2013c.csv";34.33333333;-106.96667;"Baez_2013";"G";"G - A";1;"decr.P";"1";"2010_1_Baez_2013c;G;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;0.31696926472357
"Baez_2013c.csv";34.33333333;-106.96667;"Baez_2013";"G";"G - A";2;"decr.P";"1";"2010_1_Baez_2013c;G;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;-0.528405361450064
"Baez_2013c.csv";34.33333333;-106.96667;"Baez_2013";"G";"G - A";3;"decr.P";"1";"2010_1_Baez_2013c;G;P;decr.P;1;2010;2";3;-0.286792881438332;1;"3";3;-50;-0.747839312249394;253;-0.319195673738619;0.815496730517856;1333.086163;-0.419825014237913
"Baez_2013d.csv";34.33333333;-106.96667;"Baez_2013";"G";"G - A";1;"incr.P";"1";"2010_1_Baez_2013d;G;P;incr.P;1;2010;2";3;-0.286792881438332;1;"3";3;42;0.577879372729742;253;-0.319195673738619;0.815496730517856;1333.086163;0.62284225990161
"Baez_2013d.csv";34.33333333;-106.96667;"Baez_2013";"G";"G - A";2;"incr.P";"1";"2010_1_Baez_2013d;G;P;incr.P;1;2010;2";3;-0.286792881438332;1;"3";3;42;0.577879372729742;253;-0.319195673738619;0.815496730517856;1333.086163;-0.000706713810332271
